Campaign Name,Ad Group Name,Keyword,Match Type,Intent,Persona,Ad Copy,Landing Page,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,ctf platform,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,https://start.simulationslabs.com/,,Budget Distribution
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,ctf hosting platform,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,65%
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,host capture the flag competition,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,create ctf competition,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,online ctf platform,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,no code ctf platform,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,no code cyber range,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,host cybersecurity competition,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,run cybersecurity ctf,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,cybersecurity event platform,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,Best CTF Hosting Platform,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,open source ctf platform,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Generic,ctf software,Phrase,I’m looking for a platform/tool to run CTFs,CTF Organizers,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Universities,ctf platform for universities,Phrase,"Educators, professors, universities explicitly searching for labs / CTF tools.",Educators,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Universities,cybersecurity labs for universities,Phrase,"Educators, professors, universities explicitly searching for labs / CTF tools.",Educators,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Universities,university ctf platform,Phrase,"Educators, professors, universities explicitly searching for labs / CTF tools.",Educators,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Universities,teaching cybersecurity labs,Phrase,"Educators, professors, universities explicitly searching for labs / CTF tools.",Educators,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Universities,cybersecurity lab platform for education,Phrase,"Educators, professors, universities explicitly searching for labs / CTF tools.",Educators,RSA,,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Cybersecurity Training,cybersecurity team training labs,Phrase,Security leaders training or assessing internal teams.,Cybersecurity Leaders,RSA,https://start.simulationslabs.com/security-leaders,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Cybersecurity Training,cyber range for employees,Phrase,Security leaders training or assessing internal teams.,Cybersecurity Leaders,RSA,https://start.simulationslabs.com/security-leaders,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Cybersecurity Training,security team assessment platform,Phrase,Security leaders training or assessing internal teams.,Cybersecurity Leaders,RSA,https://start.simulationslabs.com/security-leaders,,
Search | CTF Organizers | KSA + UAE | EN,CTF Platform – Cybersecurity Training,cybersecurity skills assessment platform,Phrase,Security leaders training or assessing internal teams.,Cybersecurity Leaders,RSA,https://start.simulationslabs.com/security-leaders,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Budget Distribution: 70% Of The Budget Goes To This Campaign,,,,,,,,,
